Channel	Threshold	ENC
0	25.7244011737295	6.09589445099408
1	27.5601380116765	5.81428167564
2	32.9302674298611	5.97493875633098
3	29.0476785524547	6.19385699976202
4	18.0803044241802	6.56747993313941
5	31.0689664792525	7.73509716181121
6	11.9619145248502	8.52374968912389
7	38.9351934057361	8.32764307568724
8	39.3855444431184	17.4530883402712
9	31.544896030539	19.4299070113777
10	15.0785717169669	15.488670627702
11	26.1988412554301	16.4789677518308
12	13.663231317698	15.4420163046135
13	27.8964465389088	16.0567482153366
14	20.7986018651712	14.6539004152688
15	20.3599817909585	16.2430897361821
16	22.9692862334867	21.2987574505979
17	22.4239034368765	17.3814222750273
18	26.5836517939428	18.5674442376882
19	20.8479780215302	18.0996631767644
20	26.041022970356	18.6835322582434
21	21.7464503755626	20.5692598274988
22	11.4095011633424	19.521972098046
23	21.2132069562853	21.998213649297
24	41.7306547624414	10.3481586793361
25	30.0114948082758	9.72725947259959
26	21.8561978308226	7.66843262221089
27	26.6955845957888	6.6622480872402
28	37.1981247814123	5.76544918596515
29	3.6586455479313e-12	0.55529631780639
30	3.65760003119858e-12	0.55529132357696
31	59.649757082594	6.42978867115249
