Channel	Threshold	ENC
0	25.8664785865196	4.65404356249908
1	27.3771927278819	4.81299532050077
2	32.5417423130675	4.88484338522138
3	28.891912455127	4.79826995514441
4	17.7249716790295	4.91963463415425
5	30.8102689526713	5.30137756302025
6	11.7080985381055	5.85001825204021
7	38.6328042744347	5.3356988335946
8	1405.54388167428	509.744847289102
9	1405.54388167428	509.744847289102
10	1405.54388167428	509.744847289102
11	1405.54388167428	509.744847289102
12	1405.54388167428	509.744847289102
13	1405.54388167428	509.744847289102
14	1405.54388167428	509.744847289102
15	1405.54388167428	509.744847289102
16	1405.54388167428	509.744847289102
17	1405.54388167428	509.744847289102
18	1405.54388167428	509.744847289102
19	1405.54388167428	509.744847289102
20	1405.54388167428	509.744847289102
21	1405.54388167428	509.744847289102
22	1405.54388167428	509.744847289102
23	1405.54388167428	509.744847289102
24	1405.54388167428	509.744847289102
25	1405.54388167428	509.744847289102
26	1405.54388167428	509.744847289102
27	1405.54388167428	509.744847289102
28	1405.54388167428	509.744847289102
29	1405.54388167428	509.744847289102
30	1405.54388167428	509.744847289102
31	1405.54388167428	509.744847289102
