# ASIC configuration for the measurements:
# ------------------------------------------------------------------------------
# Mode = 011 
# Bias = 0110 
# CSArefs = 0011 
# Shaper = 100 
# Leakage mask = 00000000000000000000000000000000 
# Discr. enable mask = 11111111111111111111111111111111 
# Calibration mask = 11111111111111111111111111111111 
# Threshold = 214 
# FineTHR[0] = 001 
# FineTHR[1] = 000 
# FineTHR[2] = 111 
# FineTHR[3] = 010 
# FineTHR[4] = 000 
# FineTHR[5] = 111 
# FineTHR[6] = 000 
# FineTHR[7] = 111 
# FineTHR[8] = 111 
# FineTHR[9] = 110 
# FineTHR[10] = 000 
# FineTHR[11] = 011 
# FineTHR[12] = 000 
# FineTHR[13] = 101 
# FineTHR[14] = 101 
# FineTHR[15] = 010 
# FineTHR[16] = 000 
# FineTHR[17] = 110 
# FineTHR[18] = 101 
# FineTHR[19] = 110 
# FineTHR[20] = 111 
# FineTHR[21] = 111 
# FineTHR[22] = 000 
# FineTHR[23] = 111 
# FineTHR[24] = 111 
# FineTHR[25] = 010 
# FineTHR[26] = 000 
# FineTHR[27] = 011 
# FineTHR[28] = 111 
# FineTHR[29] = 000 
# FineTHR[30] = 000 
# FineTHR[31] = 111 
# ------------------------------------------------------------------------------
# Event data block #1
# Threshold	DAC	Events	Triggered
214	0	1000	1000
# Event data block #2
# Threshold	DAC	Events	Triggered
214	1	1000	1000
# Event data block #3
# Threshold	DAC	Events	Triggered
214	2	1000	1000
# Event data block #4
# Threshold	DAC	Events	Triggered
214	3	1000	1000
# Event data block #5
# Threshold	DAC	Events	Triggered
214	4	1000	1000
# Event data block #6
# Threshold	DAC	Events	Triggered
214	5	1000	1000
# Event data block #7
# Threshold	DAC	Events	Triggered
214	6	1000	1000
# Event data block #8
# Threshold	DAC	Events	Triggered
214	7	1000	1000
# Event data block #9
# Threshold	DAC	Events	Triggered
214	8	1000	1000
# Event data block #10
# Threshold	DAC	Events	Triggered
214	9	1000	1000
# Event data block #11
# Threshold	DAC	Events	Triggered
214	10	1000	1000
# Event data block #12
# Threshold	DAC	Events	Triggered
214	11	1000	1000
# Event data block #13
# Threshold	DAC	Events	Triggered
214	12	1000	1000
# Event data block #14
# Threshold	DAC	Events	Triggered
214	13	1000	1000
# Event data block #15
# Threshold	DAC	Events	Triggered
214	14	1000	1000
# Event data block #16
# Threshold	DAC	Events	Triggered
214	15	1000	1000
# Event data block #17
# Threshold	DAC	Events	Triggered
214	16	1000	1000
# Event data block #18
# Threshold	DAC	Events	Triggered
214	17	1000	1000
# Event data block #19
# Threshold	DAC	Events	Triggered
214	18	1000	1000
# Event data block #20
# Threshold	DAC	Events	Triggered
214	19	1000	1000
# Event data block #21
# Threshold	DAC	Events	Triggered
214	20	1000	1000
# Event data block #22
# Threshold	DAC	Events	Triggered
214	21	1000	1000
# Event data block #23
# Threshold	DAC	Events	Triggered
214	22	1000	1000
# Event data block #24
# Threshold	DAC	Events	Triggered
214	23	1000	1000
# Event data block #25
# Threshold	DAC	Events	Triggered
214	24	1000	1000
# Event data block #26
# Threshold	DAC	Events	Triggered
214	25	1000	1000
# Event data block #27
# Threshold	DAC	Events	Triggered
214	26	1000	1000
# Event data block #28
# Threshold	DAC	Events	Triggered
214	27	1000	1000
# Event data block #29
# Threshold	DAC	Events	Triggered
214	28	1000	1000
# Event data block #30
# Threshold	DAC	Events	Triggered
214	29	1000	1000
# Event data block #31
# Threshold	DAC	Events	Triggered
214	30	1000	1000
# Event data block #32
# Threshold	DAC	Events	Triggered
214	31	1000	1000
# Event data block #33
# Threshold	DAC	Events	Triggered
214	32	1000	1000
# Event data block #34
# Threshold	DAC	Events	Triggered
214	33	1000	1000
# Event data block #35
# Threshold	DAC	Events	Triggered
214	34	1000	1000
# Event data block #36
# Threshold	DAC	Events	Triggered
214	35	1000	1000
# Event data block #37
# Threshold	DAC	Events	Triggered
214	36	1000	1000
# Event data block #38
# Threshold	DAC	Events	Triggered
214	37	1000	1000
# Event data block #39
# Threshold	DAC	Events	Triggered
214	38	1000	1000
# Event data block #40
# Threshold	DAC	Events	Triggered
214	39	1000	1000
# Event data block #41
# Threshold	DAC	Events	Triggered
214	40	1000	1000
# Event data block #42
# Threshold	DAC	Events	Triggered
214	41	1000	1000
# Event data block #43
# Threshold	DAC	Events	Triggered
214	42	1000	1000
# Event data block #44
# Threshold	DAC	Events	Triggered
214	43	1000	1000
# Event data block #45
# Threshold	DAC	Events	Triggered
214	44	1000	1000
# Event data block #46
# Threshold	DAC	Events	Triggered
214	45	1000	1000
# Event data block #47
# Threshold	DAC	Events	Triggered
214	46	1000	1000
# Event data block #48
# Threshold	DAC	Events	Triggered
214	47	1000	1000
# Event data block #49
# Threshold	DAC	Events	Triggered
214	48	1000	1000
# Event data block #50
# Threshold	DAC	Events	Triggered
214	49	1000	1000
# Event data block #51
# Threshold	DAC	Events	Triggered
214	50	1000	1000
# Event data block #52
# Threshold	DAC	Events	Triggered
214	51	1000	1000
# Event data block #53
# Threshold	DAC	Events	Triggered
214	52	1000	1000
# Event data block #54
# Threshold	DAC	Events	Triggered
214	53	1000	1000
# Event data block #55
# Threshold	DAC	Events	Triggered
214	54	1000	1000
# Event data block #56
# Threshold	DAC	Events	Triggered
214	55	1000	1000
# Event data block #57
